DEBUG 2025-03-04 12:27:59,281 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1740867315.5377638
DEBUG 2025-03-04 12:27:59,281 autoreload File /usr/local/lib/python3.10/wsgiref/util.py first seen with mtime 1740460896.0
DEBUG 2025-03-04 12:27:59,281 autoreload File /usr/local/lib/python3.10/lib-dynload/_posixsubprocess.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460864.0
DEBUG 2025-03-04 12:27:59,282 autoreload File /usr/local/lib/python3.10/sre_compile.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,282 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/status.py first seen with mtime 1740867321.5677347
DEBUG 2025-03-04 12:27:59,282 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1740867316.0977612
DEBUG 2025-03-04 12:27:59,282 autoreload File /usr/local/lib/python3.10/site-packages/django/middleware/__init__.py first seen with mtime 1740867319.3977451
DEBUG 2025-03-04 12:27:59,283 autoreload File /usr/local/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1740867319.4477448
DEBUG 2025-03-04 12:27:59,283 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/hashing.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.1661813
DEBUG 2025-03-04 12:27:59,283 autoreload File /usr/local/lib/python3.10/site-packages/MySQLdb/__init__.py first seen with mtime 1740863747.2462003
DEBUG 2025-03-04 12:27:59,283 autoreload File /usr/local/lib/python3.10/asyncio/format_helpers.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,283 autoreload File /usr/local/lib/python3.10/gettext.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,284 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/array_algos/__init__.py first seen with mtime 1740863749.8561876
DEBUG 2025-03-04 12:27:59,284 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/constraints.py first seen with mtime 1740867318.8977475
DEBUG 2025-03-04 12:27:59,284 autoreload File /usr/local/lib/python3.10/enum.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,284 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1740867318.1377513
DEBUG 2025-03-04 12:27:59,285 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/serializers.py first seen with mtime 1740867321.5577347
DEBUG 2025-03-04 12:27:59,286 autoreload File /usr/local/lib/python3.10/lib-dynload/_socket.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460870.0
DEBUG 2025-03-04 12:27:59,289 autoreload File /app/base/views.py first seen with mtime 1741090884.0191462
DEBUG 2025-03-04 12:27:59,290 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/signals.py first seen with mtime 1740867318.4477499
DEBUG 2025-03-04 12:27:59,290 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/tslibs/fields.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.2861807
DEBUG 2025-03-04 12:27:59,290 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1740867321.7377338
DEBUG 2025-03-04 12:27:59,290 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/_histograms_impl.py first seen with mtime 1740863738.6062286
DEBUG 2025-03-04 12:27:59,290 autoreload File /usr/local/lib/python3.10/site-packages/django/core/files/storage/handler.py first seen with mtime 1740867318.177751
DEBUG 2025-03-04 12:27:59,291 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/base/operations.py first seen with mtime 1740867318.5377493
DEBUG 2025-03-04 12:27:59,291 autoreload File /usr/local/lib/python3.10/site-packages/pandas/compat/numpy/__init__.py first seen with mtime 1740863751.5361795
DEBUG 2025-03-04 12:27:59,291 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1740867316.5877588
DEBUG 2025-03-04 12:27:59,291 autoreload File /usr/local/lib/python3.10/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1740867319.4977448
DEBUG 2025-03-04 12:27:59,291 autoreload File /usr/local/lib/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460877.0
DEBUG 2025-03-04 12:27:59,292 autoreload File /usr/local/lib/python3.10/site-packages/asgiref/__init__.py first seen with mtime 1740863748.4161947
DEBUG 2025-03-04 12:27:59,292 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py first seen with mtime 1740863738.6162286
DEBUG 2025-03-04 12:27:59,292 autoreload File /usr/local/lib/python3.10/site-packages/pandas/io/parsers/arrow_parser_wrapper.py first seen with mtime 1740863748.5761938
DEBUG 2025-03-04 12:27:59,292 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/util/hashing.py first seen with mtime 1740863749.5261893
DEBUG 2025-03-04 12:27:59,292 autoreload File /usr/local/lib/python3.10/site-packages/numpy/random/_pickle.py first seen with mtime 1740863738.5362287
DEBUG 2025-03-04 12:27:59,293 autoreload File /usr/local/lib/python3.10/typing.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,293 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/window/common.py first seen with mtime 1740863749.6061888
DEBUG 2025-03-04 12:27:59,293 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1740867316.5877588
DEBUG 2025-03-04 12:27:59,294 autoreload File /usr/local/lib/python3.10/pickle.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,294 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/computation/expressions.py first seen with mtime 1740863749.5261893
DEBUG 2025-03-04 12:27:59,294 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/dtypes/generic.py first seen with mtime 1740863749.8261878
DEBUG 2025-03-04 12:27:59,294 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1740867318.8777478
DEBUG 2025-03-04 12:27:59,295 autoreload File /usr/local/lib/python3.10/site-packages/pandas/io/parsers/readers.py first seen with mtime 1740863748.5761938
DEBUG 2025-03-04 12:27:59,295 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/tools/times.py first seen with mtime 1740863749.546189
DEBUG 2025-03-04 12:27:59,295 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/groupby/generic.py first seen with mtime 1740863749.576189
DEBUG 2025-03-04 12:27:59,296 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_config/__init__.py first seen with mtime 1740863749.4361897
DEBUG 2025-03-04 12:27:59,296 autoreload File /usr/local/lib/python3.10/site-packages/django/core/cache/utils.py first seen with mtime 1740867318.147751
DEBUG 2025-03-04 12:27:59,297 autoreload File /usr/local/lib/python3.10/mimetypes.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,297 autoreload File /usr/local/lib/python3.10/site-packages/numpy/_core/einsumfunc.py first seen with mtime 1740863738.9062276
DEBUG 2025-03-04 12:27:59,297 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1740867318.6577487
DEBUG 2025-03-04 12:27:59,298 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/nanops.py first seen with mtime 1740863749.5061893
DEBUG 2025-03-04 12:27:59,298 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/ops/missing.py first seen with mtime 1740863749.5361893
DEBUG 2025-03-04 12:27:59,298 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/tslibs/nattype.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.216181
DEBUG 2025-03-04 12:27:59,298 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/window/aggregations.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863751.1961813
DEBUG 2025-03-04 12:27:59,300 autoreload File /app/base/apps.py first seen with mtime 1738452602.3813317
DEBUG 2025-03-04 12:27:59,300 autoreload File /usr/local/lib/python3.10/site-packages/pandas/io/api.py first seen with mtime 1740863748.536194
DEBUG 2025-03-04 12:27:59,300 autoreload File /usr/local/lib/python3.10/email/_header_value_parser.py first seen with mtime 1740460896.0
DEBUG 2025-03-04 12:27:59,300 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/ops/invalid.py first seen with mtime 1740863749.5361893
DEBUG 2025-03-04 12:27:59,301 autoreload File /usr/local/lib/python3.10/site-packages/django/db/backends/base/creation.py first seen with mtime 1740867318.4877496
DEBUG 2025-03-04 12:27:59,301 autoreload File /usr/local/lib/python3.10/site-packages/pandas/io/stata.py first seen with mtime 1740863748.536194
DEBUG 2025-03-04 12:27:59,302 autoreload File /usr/local/lib/python3.10/lib-dynload/_queue.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740460861.0
DEBUG 2025-03-04 12:27:59,303 autoreload File /usr/local/lib/python3.10/site-packages/django/template/utils.py first seen with mtime 1740867319.4477448
DEBUG 2025-03-04 12:27:59,303 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/apps.py first seen with mtime 1740867317.4477546
DEBUG 2025-03-04 12:27:59,304 autoreload File /usr/local/lib/python3.10/site-packages/django/template/smartif.py first seen with mtime 1740867319.4477448
DEBUG 2025-03-04 12:27:59,305 autoreload File /usr/local/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1740867318.157751
DEBUG 2025-03-04 12:27:59,306 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1740867317.4477546
DEBUG 2025-03-04 12:27:59,306 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/postgres/utils.py first seen with mtime 1740867317.4477546
DEBUG 2025-03-04 12:27:59,306 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/utils/encoders.py first seen with mtime 1740867321.7377338
DEBUG 2025-03-04 12:27:59,306 autoreload File /usr/local/lib/python3.10/asyncio/__init__.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,307 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/validators.py first seen with mtime 1740867321.5677347
DEBUG 2025-03-04 12:27:59,307 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/sites/requests.py first seen with mtime 1740867317.977752
